TidId,Start,Slut,Notat,EnhedsId,OprettelsesDato,Navn
25171,26-02-2007,01-03-2007,flytbar,279,04-09-2006,25 m2 Luksushytte
25172,26-02-2007,21-03-2007,flytbar,36,22-02-2007,15 m2 4pers
25173,04-03-2007,08-03-2007,ikke flytbar,283,21-02-2007,25 m2 Luksushytte
25174,04-03-2007,08-03-2007,ikke flytbar,284,21-02-2007,25 m2 Luksushytte
25175,04-03-2007,08-03-2007,ikke flytbar,276,21-02-2007,25 m2 Luksushytte
25176,11-03-2007,18-03-2007,flytbar,284,21-02-2007,25 m2 Luksushytte
25177,11-03-2007,15-03-2007,flytbar,283,21-02-2007,25 m2 Luksushytte
25178,11-03-2007,15-03-2007,flytbar,276,21-02-2007,25 m2 Luksushytte
25179,18-03-2007,25-03-2007,flytbar,284,21-02-2007,25 m2 Luksushytte
25180,18-03-2007,22-03-2007,flytbar,277,21-02-2007,25 m2 Luksushytte
25181,18-03-2007,22-03-2007,flytbar,278,21-02-2007,25 m2 Luksushytte
25182,25-03-2007,29-03-2007,flytbar,277,21-02-2007,25 m2 Luksushytte
25183,25-03-2007,29-03-2007,flytbar,284,21-02-2007,25 m2 Luksushytte
25184,25-03-2007,29-03-2007,flytbar,278,21-02-2007,25 m2 Luksushytte
25185,24-02-2007,25-02-2007,flytbar,37,21-02-2007,15 m2 4pers
25186,22-02-2007,24-02-2007,flytbar,37,22-02-2007,15 m2 4pers
25188,01-06-2007,03-06-2007,flytbar,285,22-02-2007,25 m2 Luksushytte
25189,26-02-2007,02-03-2007,flytbar,275,23-02-2007,25 m2 Luksushytte
25191,18-08-2007,19-08-2007,flytbar,280,23-02-2007,25 m2 Luksushytte
25192,18-08-2007,19-08-2007,flytbar,277,23-02-2007,25 m2 Luksushytte
25193,19-05-2007,20-05-2007,flytbar,57,23-02-2007,25 m2 Luksushytte
25194,26-02-2007,23-06-2007,flytbar,37,20-02-2007,15 m2 4pers
25195,26-02-2007,02-03-2007,flytbar,43,20-02-2007,15 m2 4pers
25196,10-03-2007,11-03-2007,flytbar,275,25-02-2007,25 m2 Luksushytte
25197,27-04-2007,29-04-2007,flytbar,56,25-02-2007,25 m2 Luksushytte
25199,23-02-2007,25-02-2007,flytbar,88,06-01-2007,Elplads
25200,26-02-2007,02-03-2007,flytbar,276,30-03-2006,25 m2 Luksushytte
25214,05-04-2007,09-04-2007,flytbar,146,26-02-2007,Elplads
25215,05-04-2007,09-04-2007,flytbar,150,26-02-2007,Elplads
25216,21-04-2007,22-04-2007,flytbar,284,23-02-2005,25 m2 Luksushytte
25217,21-04-2007,22-04-2007,flytbar,287,23-02-2005,25 m2 Luksushytte
25218,26-02-2007,28-02-2007,flytbar,62,26-02-2007,Elplads
25220,26-02-2007,04-03-2007,flytbar,143,19-02-2007,Elplads
25221,26-02-2007,02-03-2007,flytbar,145,19-02-2007,Elplads
25222,27-02-2007,28-02-2007,flytbar,42,27-02-2007,15 m2 4pers
25223,27-02-2007,28-02-2007,flytbar,44,08-11-2005,15 m2 4pers
25224,02-03-2007,04-03-2007,flytbar,276,27-02-2007,25 m2 Luksushytte
25228,26-05-2007,28-05-2007,flytbar,57,27-02-2007,25 m2 Luksushytte
25229,26-05-2007,28-05-2007,flytbar,58,27-02-2007,25 m2 Luksushytte
25230,21-07-2007,23-07-2007,flytbar,58,27-02-2007,25 m2 Luksushytte
25231,27-02-2007,01-03-2007,flytbar,139,21-02-2006,Elplads
25232,30-06-2007,04-07-2007,flytbar,34,27-02-2007,17 m2 4pers
25234,22-06-2007,24-06-2007,flytbar,124,27-02-2007,Elplads
25239,28-02-2007,01-03-2007,flytbar,46,28-02-2007,15 m2 4pers
25240,03-03-2007,05-03-2007,flytbar,274,28-02-2007,25 m2 Luksushytte
25241,10-08-2007,13-08-2007,flytbar,278,01-03-2007,25 m2 Luksushytte
25242,01-03-2007,04-03-2007,flytbar,141,01-03-2007,Elplads
25243,08-06-2007,10-06-2007,flytbar,282,29-07-2002,25 m2 Luksushytte
25245,01-03-2007,04-03-2007,flytbar,139,15-04-2004,Elplads
25246,12-03-2007,15-03-2007,flytbar,274,04-09-2006,25 m2 Luksushytte
25247,01-03-2007,04-03-2007,flytbar,146,01-03-2007,Elplads
25248,01-03-2007,01-04-2007,flytbar,172,01-03-2007,Elplads
25249,02-03-2007,04-03-2007,flytbar,171,02-03-2007,Elplads
25250,02-04-2007,04-04-2007,flytbar,287,02-03-2007,25 m2 Luksushytte
25251,05-03-2007,30-04-2007,flytbar,44,20-02-2007,15 m2 4pers
25252,02-03-2007,04-04-2007,flytbar,46,02-03-2007,15 m2 4pers
25253,03-03-2007,04-03-2007,flytbar,145,03-03-2007,Elplads
25254,09-03-2007,12-03-2007,flytbar,148,03-03-2007,Elplads
25255,03-03-2007,07-03-2007,flytbar,147,03-03-2007,Elplads
25256,03-03-2007,10-03-2007,flytbar,140,04-03-2007,Elplads
25257,05-03-2007,08-03-2007,flytbar,42,18-02-2007,15 m2 4pers
25258,06-04-2007,09-04-2007,flytbar,38,05-03-2007,15 m2 4pers
25259,04-08-2007,05-08-2007,flytbar,38,05-03-2007,15 m2 4pers
25260,04-05-2007,06-05-2007,flytbar,57,05-03-2007,25 m2 Luksushytte
25262,16-07-2007,23-07-2007,flytbar,39,20-02-2007,15 m2 4pers
25263,02-04-2007,06-04-2007,flytbar,282,05-03-2007,25 m2 Luksushytte
25264,11-08-2007,12-08-2007,flytbar,285,05-03-2007,25 m2 Luksushytte
25266,12-08-2007,13-08-2007,flytbar,38,05-03-2007,15 m2 4pers
25269,26-05-2007,28-05-2007,flytbar,56,05-03-2007,25 m2 Luksushytte
25270,26-05-2007,28-05-2007,flytbar,139,05-03-2007,Elplads
25271,08-04-2007,09-04-2007,flytbar,55,26-02-2007,25 m2 6pers
25272,06-03-2007,08-03-2007,flytbar,39,06-03-2007,15 m2 4pers
25273,12-03-2007,15-03-2007,flytbar,39,06-03-2007,15 m2 4pers
25274,06-03-2007,08-03-2007,flytbar,141,10-06-2005,Elplads
25276,06-03-2007,12-03-2007,flytbar,43,06-08-2002,15 m2 4pers
25277,06-04-2007,09-04-2007,flytbar,36,05-03-2007,15 m2 4pers
25278,06-03-2007,08-03-2007,flytbar,148,06-03-2007,Elplads
25279,21-04-2007,22-04-2007,flytbar,286,06-03-2007,25 m2 Luksushytte
25280,21-04-2007,22-04-2007,flytbar,57,06-03-2007,25 m2 Luksushytte
25281,01-06-2007,03-06-2007,flytbar,284,22-02-2007,25 m2 Luksushytte
25283,07-03-2007,09-03-2007,flytbar,274,30-03-2006,25 m2 Luksushytte
25284,07-03-2007,12-03-2007,flytbar,145,28-10-2005,Elplads
25285,08-03-2007,11-03-2007,flytbar,284,21-02-2007,25 m2 Luksushytte
25286,07-03-2007,08-03-2007,flytbar,139,07-03-2007,Elplads
25287,07-03-2007,09-03-2007,flytbar,146,19-02-2007,Elplads
25288,07-03-2007,08-03-2007,flytbar,147,08-03-2007,Elplads
25289,03-09-2007,06-09-2007,flytbar,275,08-03-2007,25 m2 Luksushytte
25291,20-04-2007,22-04-2007,ikke flytbar,141,08-03-2007,Elplads
25292,08-03-2007,12-03-2007,flytbar,143,27-09-2002,Elplads
25293,02-04-2007,05-04-2007,flytbar,148,11-04-2004,Elplads
25294,12-03-2007,15-03-2007,flytbar,35,18-02-2007,15 m2 4pers
25296,08-03-2007,11-03-2007,flytbar,139,09-07-2002,Elplads
25297,11-04-2007,14-04-2007,flytbar,279,09-03-2007,25 m2 Luksushytte
25299,09-03-2007,11-03-2007,flytbar,141,06-11-2004,Elplads
25302,10-03-2007,14-03-2007,flytbar,140,09-03-2007,Elplads
25303,09-03-2007,11-03-2007,flytbar,147,09-03-2007,Elplads
25304,09-03-2007,11-03-2007,flytbar,121,09-03-2007,Elplads
25305,09-03-2007,11-03-2007,flytbar,123,09-03-2007,Elplads
25306,09-03-2007,11-03-2007,flytbar,144,18-02-2007,Elplads
25307,10-03-2007,11-03-2007,flytbar,142,10-03-2007,Elplads
25308,11-03-2007,13-03-2007,flytbar,150,23-08-2006,Elplads
25309,15-06-2007,17-06-2007,flytbar,147,06-11-2004,Elplads
25310,11-03-2007,12-03-2007,flytbar,142,11-03-2007,Elplads
